1boy, cyclops \(x-men\), marvel, brown hair, blue eyes
1boy, magneto, marvel, brown hair, blue eyes
1boy, miguel o'hara, marvel, brown hair, red eyes
1boy, miles morales, marvel, black hair, brown eyes
1boy, peter b parker, marvel, brown hair, red eyes
1boy, peter parker, marvel, brown hair, brown eyes
1boy, spider-man \(2099\), marvel, brown hair, red eyes
1boy, spider-man \(miles morales\), marvel, blonde hair, blue eyes
1boy, spider-man, marvel, brown hair, blue eyes
1boy, venom \(marvel\), marvel, blonde hair, blue eyes
1boy, wolverine, marvel, brown hair, blue eyes
1boy, batman, dc comics, black hair, blue eyes
1boy, beast boy \(dc\), dc comics, purple hair, purple eyes
1boy, bruce wayne, dc comics, black hair, blue eyes
1boy, clark kent, dc comics, black hair, blue eyes
1boy, cyborg \(dc\), dc comics, green eyes, black hair
1boy, damian wayne, dc comics, black hair, blue eyes
1boy, dick grayson, dc comics, black hair, blue eyes
1boy, jason todd, dc comics, black hair, blue eyes
1boy, joker \(dc\), dc comics, green hair, blue eyes
1boy, nightwing, dc comics, black hair, blue eyes
1boy, red hood \(dc\), dc comics, black hair, blue eyes
1boy, robin \(dc\), dc comics, black hair, blue eyes
1boy, superman, dc comics, black hair, blue eyes
1boy, the flash, dc comics, blue eyes, brown hair
1boy, tim drake, dc comics, black hair, blue eyes
