1boy, aang, avatar legends, black hair, blue eyes
1boy, amethyst \(steven universe\), steven universe, white hair, blue eyes
1boy, anakin skywalker, star wars, facial hair, blue eyes
1boy, bart simpson, the simpsons, blonde hair, black eyes
1boy, batman, dc comics, black hair, blue eyes
1boy, beast boy \(dc\), dc comics, purple hair, purple eyes
1boy, ben tennyson, ben 10, green eyes, brown hair
1boy, bill cipher, gravity falls, brown hair, brown eyes
1boy, bolin, avatar legends, black hair, green eyes
1boy, bolin, avatar legends, black hair, green eyes
1boy, bruce wayne, dc comics, black hair, blue eyes
1boy, butters stotch, south park, blonde hair, blue eyes
1boy, clark kent, dc comics, black hair, blue eyes
1boy, clyde donovan, south park, brown hair, brown eyes
1boy, craig tucker, south park, black hair, blue eyes
1boy, cyborg \(dc\), dc comics, green eyes, black hair
1boy, cyclops \(x-men\), marvel, brown hair, blue eyes
1boy, damian wayne, dc comics, black hair, blue eyes
1boy, darth vader, star wars, blonde hair, blue eyes
1boy, dexter \(dexter's laboratory\), dexter's laboratory, blonde hair, blue eyes
1boy, dick grayson, dc comics, black hair, blue eyes
1boy, dipper pines, gravity falls, brown hair, brown eyes
1boy, eric cartman, south park, brown hair, blue eyes
1boy, finn the human, adventure time, blonde hair, blue eyes
1boy, jake the dog, adventure time, blonde hair, blue eyes
1boy, jason todd, dc comics, black hair, blue eyes
1boy, joker \(dc\), dc comics, green hair, blue eyes
1boy, kenny mccormick, south park, blonde hair, blue eyes
1boy, kevin levin, ben 10, black hair, green eyes
1boy, kyle broflovski, south park, red hair, green eyes
1boy, lincoln loud, the loud house, white hair, blue eyes
1boy, luke skywalker, star wars, blonde hair, blue eyes
1boy, magneto, marvel, brown hair, blue eyes
1boy, miguel o'hara, marvel, brown hair, red eyes
1boy, miles morales, marvel, black hair, brown eyes
1boy, mojo jojo, powerpuff girls, blonde hair, green eyes
1boy, nightwing, dc comics, black hair, blue eyes
1boy, obi-wan kenobi, star wars, facial hair, blue eyes
1boy, obi-wan kenobi, star wars, facial hair, blue eyes
1boy, peter b parker, marvel, brown hair, red eyes
1boy, peter parker, marvel, brown hair, brown eyes
1boy, red hood \(dc\), dc comics, black hair, blue eyes
1boy, robin \(dc\), dc comics, black hair, blue eyes
1boy, robin \(dc\), dc comics, black hair, blue eyes
1boy, sokka, avatar legends, brown hair, blue eyes
1boy, spider-man \(2099\), marvel, brown hair, red eyes
1boy, spider-man \(miles morales\), marvel, blonde hair, blue eyes
1boy, spider-man, marvel, brown hair, blue eyes
1boy, stan marsh, south park, black hair, blue eyes
1boy, steven quartz universe, steven universe, black hair, blue eyes
1boy, superman, dc comics, black hair, blue eyes
1boy, the flash, dc comics, blue eyes, brown hair
1boy, tim drake, dc comics, black hair, blue eyes
1boy, tweek tweak, south park, blonde hair, blue eyes
1boy, venom \(marvel\), marvel, blonde hair, blue eyes
1boy, wolverine, marvel, brown hair, blue eyes
1boy, zuko, avatar legends, black hair, yellow eyes
