1boy, 9s \(nier:automata\), nier \(series\), white hair, covered eyes
1boy, accelerator \(toaru majutsu no index\), toaru majutsu no index, white hair, red eyes
1boy, admiral \(kancolle\), kantai collection, brown hair, brown eyes
1boy, aether \(genshin impact\), genshin impact, blonde hair, yellow eyes
1boy, akizuki ryo, idolmaster, brown hair, brown eyes
1boy, albedo \(genshin impact\), genshin impact, blonde hair, blue eyes
1boy, alhaitham \(genshin impact\), genshin impact, grey hair, green eyes
1boy, amamiya ren, persona, black hair, red eyes
1boy, america \(hetalia\), axis powers hetalia, blonde hair, blue eyes
1boy, araragi koyomi, monogatari \(series\), black hair, yellow eyes
1boy, archer \(fate\), fate \(series\), white hair, blue eyes
1boy, arjuna \(fate\), fate \(series\), black hair, black eyes
1boy, armin arlert, shingeki no kyojin, blonde hair, blue eyes
1boy, ash ketchum, pokemon, black hair, brown eyes
1boy, ashiya douman \(fate\), fate \(series\), two-tone hair, black eyes
1boy, astolfo \(fate\), fate \(series\), pink hair, purple eyes
1boy, astolfo \(sailor paladin\) \(fate\), fate \(series\), pink hair, purple eyes
1boy, bakugou katsuki, boku no hero academia, blonde hair, red eyes
1boy, barnaby brooks jr., tiger & bunny, blonde hair, green eyes
1boy, bede \(pokemon\), pokemon, purple eyes, blonde hair
1boy, brendan \(pokemon\), pokemon, brown hair, blue eyes
1boy, bridget \(guilty gear\), guilty gear, blonde hair, aqua eyes
1boy, bruno bucciarati, jojo no kimyou na bouken, black hair, blue eyes
1boy, byleth \(male\) \(fire emblem\), fire emblem, blue hair, blue eyes
1boy, caesar anthonio zeppeli, jojo no kimyou na bouken, blonde hair, green eyes
1boy, calem \(pokemon\), pokemon, black hair, grey eyes
1boy, chongyun \(genshin impact\), genshin impact, blue hair, blue eyes
1boy, chris redfield, resident evil, facial hair, blue eyes
1boy, cloud strife, final fantasy, blonde hair, blue eyes
1boy, commander \(azur lane\), azur lane, black hair, red eyes
1boy, commander \(girls' frontline\), girls' frontline, brown hair, blue eyes
1boy, cu chulainn \(fate\), fate \(series\), blue hair, red eyes
1boy, cu chulainn \(fate/stay night\), fate \(series\), blue hair, red eyes
1boy, cyno \(genshin impact\), genshin impact, white hair, red eyes
1boy, dan heng \(honkai: star rail\), honkai \(series\), black hair, green eyes
1boy, denji \(chainsaw man\), chainsaw man, blonde hair, yellow eyes
1boy, diarmuid ua duibhne \(lancer\) \(fate\), fate \(series\), black hair, yellow eyes
1boy, diluc \(genshin impact\), genshin impact, red hair, red eyes
1boy, dio brando, jojo no kimyou na bouken, blonde hair, red eyes
1boy, edward elric, fullmetal alchemist, blonde hair, yellow eyes
1boy, elio \(pokemon\), pokemon, black hair, green eyes
1boy, emiya kiritsugu, fate \(series\), black hair, black eyes
1boy, emiya shirou, fate \(series\), orange hair, yellow eyes
1boy, endeavor \(boku no hero academia\), boku no hero academia, facial hair, blue eyes
1boy, enkidu \(fate\), fate \(series\), green hair, green eyes
1boy, eren yeager, shingeki no kyojin, black hair, green eyes
1boy, ethan \(pokemon\), pokemon, black hair, blue eyes
1boy, frisk \(undertale\), undertale, brown hair, red eyes
