1girl, black cat \(marvel\), marvel, white hair, blue eyes
1girl, emma frost, marvel, blonde hair, blue eyes
1girl, felicia hardy, marvel, white hair, blue eyes
1girl, gwen stacy, marvel, blonde hair, blue eyes
1girl, helen parr, marvel, blonde hair, blue eyes
1girl, jean grey, marvel, blonde hair, blue eyes
1girl, jessica jones, marvel, blonde hair, blue eyes
1girl, jubilee, marvel, blonde hair, blue eyes
1girl, kitty pryde, marvel, blonde hair, blue eyes  
1girl, maria hill, marvel, blonde hair, blue eyes
1girl, moira mactaggert, marvel, blonde hair, blue eyes
1girl, mystique, marvel, blonde hair, blue eyes
1girl, nightcrawler, marvel, blonde hair, blue eyes
1girl, northstar, marvel, blonde hair, blue eyes    
1girl, laura kinney, marvel, black hair, green eyes
1girl, peni parker, marvel, black hair, brown eyes
1girl, psylocke, marvel, purple hair, purple eyes
1girl, rogue \(x-men\), marvel, brown hair, green eyes
1girl, storm \(x-men\), marvel, white hair, blue eyes
1girl, zatanna zatara, dc comics, black hair, blue eyes
1girl, barbara gordon, dc comics, blue eyes, red hair
1girl, batgirl, dc comics, blue eyes, black hair
1girl, blackfire, dc comics, purple eyes, purple hair
1girl, cassandra cain, dc comics, black hair, blue eyes
1girl, catwoman, dc comics, black hair, blue eyes
1girl, harley quinn, dc comics, blonde hair, blue eyes
1girl, jinx \(dc\), dc comics, pink hair, pink eyes
1girl, poison ivy, dc comics, red hair, green eyes
1girl, starfire, dc comics, green eyes, red hair
1girl, stephanie brown, dc comics, blonde hair, blue eyes
1girl, wonder woman, dc comics, black hair, blue eyes
1girl, zatanna zatara, dc comics, black hair, blue eyes
1girl, barbara gordon, dc comics, blue eyes, red hair
1girl, batgirl, dc comics, blue eyes, black hair    
1girl, blackfire, dc comics, purple eyes, purple hair
1girl, cassandra cain, dc comics, black hair, blue eyes
1girl, harley quinn, dc comics, blonde hair, blue eyes  
1girl, jinx \(dc\), dc comics, pink hair, pink eyes
1girl, poison ivy, dc comics, red hair, green eyes
1girl, starfire, dc comics, green eyes, red hair
1girl, stephanie brown, dc comics, blonde hair, blue eyes
1girl, wonder woman, dc comics, black hair, blue eyes
1girl, zatanna zatara, dc comics, black hair, blue eyes
